Date,Open,High,Low,Close,Adj Close,Volume
2022-03-10,0.160000,0.170000,0.155000,0.155000,0.155000,2164187
2022-03-11,0.155000,0.155000,0.150000,0.150000,0.150000,2120446
2022-03-14,0.155000,0.160000,0.150000,0.150000,0.150000,1145097
2022-03-15,0.155000,0.155000,0.150000,0.150000,0.150000,665276
2022-03-16,0.155000,0.160000,0.150000,0.150000,0.150000,773366
2022-03-17,0.160000,0.165000,0.155000,0.155000,0.155000,1710785
2022-03-18,0.160000,0.165000,0.155000,0.155000,0.155000,1060987
2022-03-21,0.160000,0.165000,0.160000,0.160000,0.160000,949550
2022-03-22,0.165000,0.165000,0.160000,0.160000,0.160000,711234
2022-03-23,0.160000,0.162500,0.155000,0.160000,0.160000,689343
2022-03-24,0.160000,0.165000,0.155000,0.155000,0.155000,291432
2022-03-25,0.160000,0.170000,0.155000,0.155000,0.155000,4906918
2022-03-28,0.160000,0.160000,0.155000,0.155000,0.155000,619827
2022-03-29,0.160000,0.165000,0.155000,0.160000,0.160000,1878217
2022-03-30,0.175000,0.180000,0.167500,0.170000,0.170000,6722707
2022-03-31,0.170000,0.170000,0.165000,0.165000,0.165000,2186435
2022-04-01,0.170000,0.175000,0.165000,0.170000,0.170000,1782143
2022-04-04,0.170000,0.175000,0.170000,0.170000,0.170000,646646
2022-04-05,0.170000,0.175000,0.170000,0.170000,0.170000,1611792
2022-04-06,0.170000,0.175000,0.165000,0.175000,0.175000,850207
2022-04-07,0.175000,0.175000,0.165000,0.165000,0.165000,1313903
2022-04-08,0.165000,0.170000,0.160000,0.165000,0.165000,1466233
2022-04-11,0.165000,0.170000,0.165000,0.170000,0.170000,772104
2022-04-12,0.165000,0.170000,0.160000,0.165000,0.165000,1246578
2022-04-13,0.165000,0.170000,0.165000,0.165000,0.165000,895122
2022-04-14,0.165000,0.170000,0.165000,0.170000,0.170000,1678923
2022-04-19,0.170000,0.170000,0.165000,0.170000,0.170000,1380071
2022-04-20,0.170000,0.175000,0.170000,0.170000,0.170000,1466592
2022-04-21,0.170000,0.185000,0.170000,0.180000,0.180000,4458385
2022-04-22,0.180000,0.195000,0.175000,0.195000,0.195000,7735162
2022-04-26,0.195000,0.195000,0.175000,0.175000,0.175000,5195985
2022-04-27,0.175000,0.190000,0.170000,0.180000,0.180000,4355016
2022-04-28,0.185000,0.185000,0.160000,0.170000,0.170000,6884505
2022-04-29,0.165000,0.170000,0.160000,0.165000,0.165000,3019253
2022-05-02,0.160000,0.165000,0.160000,0.160000,0.160000,2188852
2022-05-03,0.165000,0.167500,0.160000,0.160000,0.160000,1758289
2022-05-04,0.160000,0.162500,0.155000,0.155000,0.155000,3465530
2022-05-05,0.155000,0.155000,0.155000,0.155000,0.155000,1319544
2022-05-06,0.155000,0.155000,0.145000,0.155000,0.155000,3449294
2022-05-09,0.150000,0.150000,0.140000,0.140000,0.140000,1840167
2022-05-10,0.140000,0.145000,0.130000,0.140000,0.140000,3163420
2022-05-11,0.140000,0.140000,0.135000,0.140000,0.140000,1621881
2022-05-12,0.140000,0.140000,0.130000,0.130000,0.130000,3785244
2022-05-13,0.130000,0.135000,0.130000,0.135000,0.135000,4058739
2022-05-16,0.135000,0.140000,0.130000,0.130000,0.130000,2372214
2022-05-17,0.135000,0.145000,0.135000,0.135000,0.135000,1465088
2022-05-18,0.140000,0.140000,0.137500,0.140000,0.140000,1372598
2022-05-19,0.135000,0.140000,0.135000,0.135000,0.135000,197402
2022-05-20,0.135000,0.140000,0.135000,0.140000,0.140000,557093
2022-05-23,0.135000,0.140000,0.135000,0.140000,0.140000,889810
2022-05-24,0.140000,0.140000,0.130000,0.130000,0.130000,1223773
2022-05-25,0.135000,0.140000,0.132500,0.135000,0.135000,1711786
2022-05-26,0.135000,0.137500,0.130000,0.130000,0.130000,1641181
2022-05-27,0.130000,0.140000,0.130000,0.135000,0.135000,1675670
2022-05-30,0.140000,0.140000,0.130000,0.130000,0.130000,1174115
2022-05-31,0.135000,0.140000,0.135000,0.140000,0.140000,1085258
2022-06-01,0.137500,0.140000,0.130000,0.135000,0.135000,643441
2022-06-02,0.135000,0.135000,0.132500,0.135000,0.135000,257048
2022-06-03,0.135000,0.137500,0.132500,0.135000,0.135000,578704
2022-06-06,0.130000,0.132500,0.130000,0.130000,0.130000,1168696
2022-06-07,0.130000,0.135000,0.130000,0.135000,0.135000,1309407
2022-06-08,0.130000,0.135000,0.130000,0.132500,0.132500,609518
2022-06-09,0.130000,0.132500,0.130000,0.130000,0.130000,1491879
2022-06-10,0.130000,0.130000,0.125000,0.125000,0.125000,3877667
2022-06-14,0.120000,0.120000,0.105000,0.115000,0.115000,5773049
2022-06-15,0.110000,0.115000,0.105000,0.105000,0.105000,1535468
2022-06-16,0.105000,0.107500,0.102500,0.105000,0.105000,3156444
2022-06-17,0.100000,0.105000,0.100000,0.105000,0.105000,654275
2022-06-20,0.105000,0.105000,0.100000,0.100000,0.100000,2034971
2022-06-21,0.105000,0.105000,0.100000,0.100000,0.100000,674377
2022-06-22,0.105000,0.105000,0.100000,0.105000,0.105000,1938684
2022-06-23,0.110000,0.125000,0.110000,0.115000,0.115000,5788138
2022-06-24,0.115000,0.125000,0.112500,0.115000,0.115000,6040582
2022-06-27,0.115000,0.120000,0.112500,0.115000,0.115000,1841003
2022-06-28,0.120000,0.120000,0.115000,0.120000,0.120000,1401809
2022-06-29,0.115000,0.115000,0.110000,0.115000,0.115000,1585893
2022-06-30,0.115000,0.115000,0.102500,0.105000,0.105000,5105497
2022-07-01,0.105000,0.110000,0.105000,0.110000,0.110000,1433398
2022-07-04,0.115000,0.115000,0.115000,0.115000,0.115000,375260
2022-07-05,0.115000,0.115000,0.110000,0.110000,0.110000,1204466
2022-07-06,0.110000,0.120000,0.110000,0.115000,0.115000,800156
2022-07-07,0.115000,0.135000,0.115000,0.135000,0.135000,3702820
2022-07-08,0.135000,0.135000,0.127500,0.130000,0.130000,1076008
2022-07-11,0.130000,0.130000,0.115000,0.120000,0.120000,2136978
2022-07-12,0.115000,0.120000,0.115000,0.115000,0.115000,983120
2022-07-13,0.115000,0.120000,0.115000,0.120000,0.120000,221902
2022-07-14,0.115000,0.117500,0.110000,0.115000,0.115000,4522275
2022-07-15,0.110000,0.120000,0.110000,0.115000,0.115000,143763
2022-07-18,0.115000,0.115000,0.110000,0.115000,0.115000,576375
2022-07-19,0.110000,0.115000,0.110000,0.110000,0.110000,833946
2022-07-20,0.115000,0.115000,0.110000,0.115000,0.115000,1466271
2022-07-21,0.110000,0.120000,0.110000,0.110000,0.110000,2154112
2022-07-22,0.115000,0.117500,0.115000,0.115000,0.115000,632323
2022-07-25,0.115000,0.115000,0.110000,0.115000,0.115000,1565493
